what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374621929302
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374621929731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621930187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621935148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621943798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621945580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621949947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621957917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621961784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621969842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621973415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621983285
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374621986536
no handler,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showRulerContextMenu",1374621986537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621986563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621988115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621989679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374621996661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622000997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622013905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622015208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622053412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622064147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622074878
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1374622121115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622125308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622126361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374622130535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622132184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622132558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374622168236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622168280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622168632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374622168745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622168833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622169171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374622169489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622169526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622169785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1374622170615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622170655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622170946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374622227188
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1374622230312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622230732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622233092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1374622238634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374622239931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374622242108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374622242945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622242983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622243260
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374622244759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374622245535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374622249695
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374622262240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622266096
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374622267051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622274295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622275667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374622290249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622295523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374622295704
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374622297267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374622329582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374622332289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622353326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622353824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622353856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622353888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622353922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622353955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622353988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622354021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622354052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374622354085
