what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374760897531
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374760901638
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374760905613
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374760909421
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374760909488
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374760909488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374760911443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374760912024
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1374760916096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374761193213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374761591528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374761623612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374761761765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374761843764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762101890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762317978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762426226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762736140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762737274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762737351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762740097
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1374762740173
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374762740488
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1374762740620
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1374762741581
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1374762741583
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1374762741586
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1374762741587
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1374762741588
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1374762741590
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1374762741591
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1374762741592
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1374762741593
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1374762741595
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1374762741597
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1374762741598
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1374762741600
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1374762741602
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1374762741603
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1374762741604
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1374762741605
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1374762741606
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1374762741607
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1374762741608
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1374762741609
